Schritt;Team;Datum;Tage_Ziel;Differenz_Durchschnitt;Ziel_erreicht;Belohnung;Anzeigedauer;Mindestdauer_Anzeige_erreicht;Anzeige;Stoerreiz;Bemerkung;FCI_Gruppe;Rasse;Alter;Erfahrung;Geschlecht;Verstaerkerwahl;Anzeigeverhalten;Zielart;Zielobjekt
1;69980;13.09.2021;2;-24,5;1;korrekt;6;1;rp;0;;7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Kong
3;69980;15.09.2021;4;-46;1;korrekt;5;1;rp;0;named as step 2 but video refers to step 3, and alert duration later in video even 10 sec;7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Kong
4;69980;03.11.2021;53;-27,5;1;korrekt;5;1;rp;1;cats in room;7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Kong
5;69980;11.12.2021;91;2,818181818;1;korrekt;5;1;rp;1;cats in room;7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Kong
6;69980;17.11.2021;67;-26,7;1;korrekt;10;1;rp;1;cats in room;7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Kong
7;69980;15.01.2022;126;9,888888889;1;korrekt;5;1;rp;1;outside;7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Kong
8;69980;27.01.2022;138;-10,27272727;1;korrekt;1;1;rp;0;;7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Kong
9;69980;27.01.2022;138;-9;1;korrekt;1;1;rp;0;;7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Kong
10;69980;14.02.2022;156;4;0;korrekt;3;0;rp;1;"dog touches plants with nose; cats in room";7;Langhaar Weimaraner;2;2;m;Futter;steht;Fallopia japonica;Pflanze
3;70021;21.09.2021;10;-40;1;korrekt;6;1;rp;0;Kong on podest, experienced team skipped steps 1 and 2;1;Malinois;7;2;w;Spielzeug;steht;Impatiens glandulifera;Kong
4;70021;13.11.2021;63;-17,5;0;korrekt;2;0;rp;1;radio on, correctly conducted but alert duration too short;1;Malinois;7;2;w;Spielzeug;steht;Impatiens glandulifera;Kong
5;70021;26.12.2021;106;17,81818182;0;korrekt;3;0;rp;2;dogs in room, correctly conducted but alert duration too short;1;Malinois;7;2;w;Spielzeug;steht;Impatiens glandulifera;Kong
6;70021;07.12.2021;87;-6,7;0;korrekt;4;0;rp;2;dogs and other persons,  correctly conducted but alert duration too short;1;Malinois;7;2;w;Spielzeug;steht;Impatiens glandulifera;Kong
7;70021;01.01.2022;112;-4,111111111;0;korrekt;3;0;rp;2;"outside, traffic, persons; correctly conducted but alert duration too short";1;Malinois;7;2;w;Spielzeug;steht;Impatiens glandulifera;Kong
8;70021;19.02.2022;161;12,72727273;1;korrekt;1;1;rp;0;;1;Malinois;7;2;w;Spielzeug;steht;Impatiens glandulifera;Kong
9;70021;19.02.2022;161;14;1;korrekt;1;1;rp;0;;1;Malinois;7;2;w;Spielzeug;steht;Impatiens glandulifera;Kong
12;70021;21.03.2022;191;23;1;korrekt;5;1;rp;2;on meadow, windy;1;Malinois;7;2;w;Spielzeug;steht;Impatiens glandulifera;Pflanze
1;70033;23.10.2021;42;15,5;1;korrekt;5;1;rp;0;dogs shows signs of over-excitement (dog whines and wags its tail excitedly);7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
2;70033;30.10.2021;49;2,6;1;korrekt;5;1;rp;0;with Ttouch bandage;7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
3;70033;31.10.2021;50;0;1;korrekt;6;1;rp;0;with Ttouch bandage;7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
4;70033;18.11.2021;68;-12,5;1;korrekt;7;1;rp;0;dogs shows signs of over-excitement (dog whines and wags its tail excitedly);7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
5;70033;07.12.2021;87;-1,181818182;1;korrekt;5;1;rp;0;dogs shows signs of over-excitement (dog whines and wags its tail excitedly);7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
6;70033;07.12.2021;87;-6,7;1;korrekt;8;1;rp;0;dogs shows signs of over-excitement (dog whines and wags its tail excitedly);7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
7;70033;16.01.2022;127;10,88888889;1;korrekt;6;1;rp;1;garden;7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
8;70033;18.02.2022;160;11,72727273;1;korrekt;5;1;rp;0;dogs shows signs of over-excitement (dog whines and wags its tail excitedly);7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
9;70033;18.02.2022;160;13;1;korrekt;1;1;rp;0;dogs shows signs of over-excitement (dog whines and wags its tail excitedly);7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Kong
12;70033;12.03.2022;182;14;1;korrekt;5;1;rp;2;park with other persons;7;Magyar Viszla;7;2;m;Futter;steht;Fallopia japonica;Pflanze
1;70034;22.09.2021;11;-15,5;1;korrekt;5;1;rp;0;;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
2;70034;26.09.2021;15;-31,4;1;korrekt;5;1;rp;1;other dog in room;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
3;70034;16.10.2021;35;-15;0;korrekt;4;0;rp;1;other dog in room, alert too short;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
4;70034;23.10.2021;42;-38,5;1;korrekt;5;1;rp;1;other dog in room;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
5;70034;23.10.2021;42;-46,18181818;1;korrekt;5;1;rp;1;other dog in room;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
6;70034;13.11.2021;63;-30,7;1;korrekt;5;1;rp;0;;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
7;70034;05.12.2021;85;-31,11111111;1;korrekt;5;1;rp;1;on meadow, windy;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
8;70034;25.01.2022;136;-12,27272727;1;korrekt;3;1;rp;1;other dog in room;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
9;70034;25.01.2022;136;-11;1;korrekt;1;1;rp;1;other dog in room;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Kong
12;70034;11.02.2022;153;-15;1;korrekt;5;1;rp;3;on meadow with other dog and likely smell of wild animals;1;Lapinporokoira;3;3;m;Futter;steht;Impatiens glandulifera;Pflanze
3;70035;13.11.2021;63;13;1;korrekt;5;1;rp;0;;1;Deutscher Schäferhund;1;2;w;Futter;steht;Impatiens glandulifera;Kong
4;70035;21.12.2021;101;20,5;0;korrekt;3;0;rp;0;alert too short;1;Deutscher Schäferhund;1;2;w;Futter;steht;Impatiens glandulifera;Kong
5;70035;06.01.2022;117;28,81818182;0;fehlerhaft;3;0;rp;1;outside, rewarded despite alert too short;1;Deutscher Schäferhund;1;2;w;Futter;steht;Impatiens glandulifera;Kong
1;70037;05.11.2021;55;28,5;1;korrekt;5;1;rp;1;outside;0;Mix;10;3;w;Futter;liegt;Fallopia japonica;Kong
