Schritt;Team;Datum;Tage_Ziel;Differenz_Durchschnitt;Ziel_erreicht;Belohnung;Anzeigedauer;MindestdauerAnzeige;Anzeige;Stoerreiz;Bemerkung;FCI_Gruppe;Rasse;Alter;Erfahrung;Geschlecht;Verstaerkerwahl;Anzeigeverhalten;Zielart
1;78724;11.10.2022;24;4;1;korrekt;5;1;rp;0;;2;Zwergschnauzer;3;1;m;Futter;steht;Fallopia japonica
3;78724;07.12.2022;81;12;1;korrekt;5;1;rp;0;;2;Zwergschnauzer;3;1;m;Futter;steht;Fallopia japonica
4;78724;29.01.2023;134;27;1;korrekt;5;1;rp;0;very well focused;2;Zwergschnauzer;3;1;m;Futter;steht;Fallopia japonica
5;78724;29.01.2023;134;23;1;korrekt;5;1;rp;0;;2;Zwergschnauzer;3;1;m;Futter;steht;Fallopia japonica
6;78724;18.03.2023;182;62;1;korrekt;5;1;rp;1;outside, park;2;Zwergschnauzer;3;1;m;Futter;steht;Fallopia japonica
7;78724;24.03.2023;188;49;0;korrekt;2;0;rp;2;outside, park, many people, alert too short;2;Zwergschnauzer;3;1;m;Futter;steht;Fallopia japonica
11;78724;25.03.2023;189;33;1;korrekt;5;1;rp;2;park;2;Zwergschnauzer;3;1;m;Futter;steht;Fallopia japonica
12;78724;03.05.2023;228;40;1;korrekt;5;1;rp;1;other decoys included (touching);2;Zwergschnauzer;3;1;m;Futter;steht;Fallopia japonica
1;78759;18.09.2022;1;-19;1;korrekt;5;1;rp;0;"dog seems unmotivated; quite a long wait before the reward; praise is rather restrained";0;Labradoodle;5;0;m;Futter;wechselt;Ambrosia artemisiifolia
3;78759;25.09.2022;8;-61;1;korrekt;5;1;rp;0;;0;Labradoodle;5;0;m;Futter;wechselt;Ambrosia artemisiifolia
4;78759;04.12.2022;78;-29;1;korrekt;6;1;rp;0;dog seems more motivated, reward much better;0;Labradoodle;5;0;m;Futter;wechselt;Ambrosia artemisiifolia
5;78759;18.12.2022;92;-19;1;fehlerhaft;5;1;rp;0;"The alert is broken by the ownerís movement; only then is reward given (i.e. once the dog has already broken the alert)";0;Labradoodle;5;0;m;Futter;wechselt;Ambrosia artemisiifolia
6;78759;18.12.2022;92;-28;1;fehlerhaft;5;1;rp;0;"The alert is broken by the ownerís movement; only then is reward given (i.e. once the dog has already broken the alert)";0;Labradoodle;5;0;m;Futter;wechselt;Ambrosia artemisiifolia
7;78759;29.01.2023;134;-5;1;korrekt;5;1;rp;1;in the garden, dynamic reward with toy looks better motivated;0;Labradoodle;5;0;m;Futter;wechselt;Ambrosia artemisiifolia
11;78759;22.01.2023;127;-29;1;korrekt;5;1;rp;0;;0;Labradoodle;5;0;m;Futter;wechselt;Ambrosia artemisiifolia
12;78759;13.03.2023;177;-11;1;korrekt;5;1;rp;1;"Dog remains frozen even though its owner is moving; in the garden";0;Labradoodle;5;0;m;Futter;wechselt;Ambrosia artemisiifolia
1;78924;26.09.2022;9;-11;1;korrekt;5;1;rp;0;;8;Lagotto Romagnolo;2;1;m;Futter;steht;Fallopia japonica
3;78924;08.12.2022;82;13;1;korrekt;5;1;rp;0;;8;Lagotto Romagnolo;2;1;m;Futter;steht;Fallopia japonica
4;78924;10.12.2022;84;-23;1;korrekt;5;1;rp;0;;8;Lagotto Romagnolo;2;1;m;Futter;steht;Fallopia japonica
