team;FCI;federal state;target;date;year;preparation;leash;temp;humidity;weather;wind;wind direction;sample number;samplecondition;search;sample;grid;size;found_dog;found_handler;time;time_orig;alert;end;false_pos;search_finished
70044;8;anonymised;Ambrosia artemisiifolia;02.04.2022;2022;Person A;no;5.3;NA;cloudy;intermittent;SO;1;frozen;1;1;3;10;0;1;300;05:00;NA;05:00;;1
70044;8;anonymised;Ambrosia artemisiifolia;02.04.2022;2022;Person A;no;5.3;NA;cloudy;intermittent;SO;2;fresh;2;1;5;10;1;0;286;04:46;strong;05:00;;1
70044;8;anonymised;Ambrosia artemisiifolia;02.04.2022;2022;Person A;no;5.3;NA;cloudy;intermittent;SO;2;fresh;2;2;9;10;1;1;188;03:08;NA;05:00;;1
70044;8;anonymised;Ambrosia artemisiifolia;02.04.2022;2022;Person A;no;5.3;NA;cloudy;intermittent;SO;1;fresh;3;1;16;10;1;0;154;02:34;strong;4:35 durch HF;2;1
70037;0;anonymised;Fallopia japonica;02.04.2022;2022;Person A;no;5;NA;partly cloudy;intermittent;SO;1;frozen;1;1;7;5;0;0;300;NA;NA;05:00;;1
70037;0;anonymised;Fallopia japonica;02.04.2022;2022;Person A;no;5;NA;partly cloudy;intermittent;SO;2;fresh;2;1;3;10;0;0;300;>5:00:00;NA;05:00;;1
70037;0;anonymised;Fallopia japonica;02.04.2022;2022;Person A;no;5;NA;partly cloudy;intermittent;SO;2;fresh;2;2;5;10;1;1;151;02:31;medium;05:00;;1
70037;0;anonymised;Fallopia japonica;02.04.2022;2022;Person A;no;5;NA;partly cloudy;intermittent;SO;2;fresh;3;1;6;10;1;1;354;05:54;strong;NA;;1
70037;0;anonymised;Fallopia japonica;02.04.2022;2022;Person A;no;5;NA;partly cloudy;intermittent;SO;2;fresh;3;2;23;10;1;1;188;03:08;medium;NA;1;1
70038;0;anonymised;Impatiens glandulifera;02.04.2022;2022;Person A;no;5.7;NA;cloudy;intermittent;SO;1;frozen;1;1;4;10;1;0;114;01:54;strong;NA;;1
70038;0;anonymised;Impatiens glandulifera;02.04.2022;2022;Person A;no;5.7;NA;cloudy;intermittent;SO;2;frozen;2;1;5;10;1;0;86;01:26;strong;05:00;;1
70038;0;anonymised;Impatiens glandulifera;02.04.2022;2022;Person A;no;5.7;NA;cloudy;intermittent;SO;2;frozen;2;2;2;2;0;0;300;05:00;NA;05:00;;1
70038;0;anonymised;Impatiens glandulifera;02.04.2022;2022;Person A;no;5.7;NA;cloudy;intermittent;SO;1;frozen;3;1;17;10;1;0;80;01:20;strong;NA;;1
70034;1;anonymised;Impatiens glandulifera;03.04.2022;2022;Person A;no;2;NA;cloudy;slight;NO;2;frozen;1;1;3;5;1;0;19;00:19;strong;NA;;1
