team;age_dog;FCI;participation_trainingwebinar_live;training_days_week;session_duration_min;steps_skipped;single_blind;search_area_qm;dried;fresh_training;nr_individuals;plant_parts;reward;rew_variety;experience
70021;8;1;yes;1,5;5;few;many;225;0;0;one;3;toy;1;2
70033;8;7;yes;3,5;20;many;many;225;1;0;few;4;both;1;2
70034;4,5;1;yes;3,5;15;few;few;10000;0;0;one;4;food;0;3
70037;11;0;partly;2,5;15;few;none;15;0;0;few;3;both;1;3
70038;2;0;yes;2;15;few;most;500;1;0;one;3;food;1;1
70039;6;1;partly;3,5;15;few;none;12;0;0;few;3;both;1;1
70040;5;0;partly;4,5;17,5;few;many;7,5;0;0;one;4;food;1;1
70044;2;8;yes;4,5;15;many;few;750;0;0;one;4;food;0;2
70063;3;0;partly;3,5;35;few;many;225;1;1;few;3;both;1;2
70068;1,5;0;partly;3;10;few;few;300;0;1;few;4;both;1;2
70069;3,5;7;partly;4;15;few;few;80;1;1;few;4;food;1;2
78724;4;2;partly;3;8;few;none;10;1;1;few;2;food;1;1
78759;6;0;no;3,5;6,5;none;none;48;0;0;few;4;both;1;0
78924;2,75;8;yes;3;7;few;none;225;1;1;few;2;food;1;1
79118;4;0;yes;3,5;7,5;few;none;100;1;0;few;2;both;1;1
79309;4,5;0;yes;3;25;many;many;100;1;1;many;3;food;0;2
79313;2,5;6;yes;3,5;30;none;none;5;1;1;many;4;food;1;1
79316;1,75;1;no;2;20;few;few;100;0;1;few;3;both;1;2
79322;3;1;yes;5;10;few;few;10;1;0;many;3;food;1;3
79341;3;8;yes;2,5;30;none;most;300;0;0;one;3;both;0;0
79362;2,5;1;partly;2,5;10;few;few;30;1;1;few;3;food;1;0
79374;4;0;partly;3,5;7,5;few;many;625;0;1;many;2;food;1;3
79422;1,5;0;yes;2,5;10;none;none;5;1;0;few;2;both;1;2
79430;4;0;yes;3,5;30;few;most;300;1;1;few;2;food;0;3
